,название,полное название,издательство,год основания,рецензируемый,выпусков в год,импакт-фактор jcr,статей в выпуске,импакт-фактор ринц 2018,сокращение,страна,город,регион,issn печатной версии,подписной индекс,тираж,вариант представления,www-адрес,isi,всего статей,в настоящее время,scopus,всего выпусков,доступный архив,ринц,полных текстов,реферативный,перечень вак,цитирований,мультидисциплинарный,rsci,esci,doaj,crossref,ядро ринц,web of science,префикс doi,базы данных
0,North-Holland Publ Co,-,north-holland publ co,-,-,-,нет,-,нет,-,-,-,-,-,-,-,-,-,нет,1,выходит,нет,1, - ,нет,0,нет,-,0,нет,нет,-,нет,-,-,-,-,-
1,Pergamon Press,-,pergamon press,-,-,-,нет,-,нет,-,-,-,-,-,-,-,-,-,нет,1,выходит,нет,1, - ,нет,0,нет,-,0,нет,нет,-,нет,-,-,-,-,-
2,Int Water Resour Assoc,-,int water resour assoc,-,-,-,нет,-,нет,-,-,-,-,-,-,-,-,-,нет,0,выходит,нет,0, - ,нет,0,нет,-,0,нет,нет,-,нет,-,-,-,-,-
3,Academic Press Inc,-,academic press inc,-,-,-,нет,-,нет,-,-,-,-,-,-,-,-,-,нет,1,выходит,нет,1, - ,нет,0,нет,-,0,нет,нет,-,нет,-,-,-,-,-
4,"Pergamon Press (Prog in Water Technol, Suppl)",-,"pergamon press (prog in water technol, suppl)",-,-,-,нет,-,нет,-,-,-,-,-,-,-,-,-,нет,1,выходит,нет,1, - ,нет,0,нет,-,0,нет,нет,-,нет,-,-,-,-,-
5,"Acad Press, Inc",-,"acad press, inc",-,-,-,нет,-,нет,-,-,-,-,-,-,-,-,-,нет,1,выходит,нет,1, - ,нет,0,нет,-,0,нет,нет,-,нет,-,-,-,-,-
6,"Nobel Found, Swed (Nobel Symp, Stockholm, Med , 24).",-,"nobel found, swed (nobel symp, stockholm, med , 24).",-,-,-,нет,-,нет,-,-,-,-,-,-,-,-,-,нет,1,выходит,нет,1, - ,нет,0,нет,-,0,нет,нет,-,нет,-,-,-,-,-
7,"Academic Press, Inc",-,"academic press, inc",-,-,-,нет,-,нет,-,-,-,-,-,-,-,-,-,нет,1,выходит,нет,1, - ,нет,0,нет,-,0,нет,нет,-,нет,-,-,-,-,-
8,Elsevier Sequoia,-,elsevier sequoia,-,-,-,нет,-,нет,-,-,-,-,-,-,-,-,-,нет,1,выходит,нет,1, - ,нет,0,нет,-,0,нет,нет,-,нет,-,-,-,-,-
9,"North-Holland Publ Co, 1976. Available in US",-,"north-holland publ co, 1976. available in us",-,-,-,нет,-,нет,-,-,-,-,-,-,-,-,-,нет,1,выходит,нет,1, - ,нет,0,нет,-,0,нет,нет,-,нет,-,-,-,-,-
10,"""Долгий ХІХ век"" в истории Беларуси и Восточной Европы: исследования по Новой и Новейшей истории","""долгий хіх век"" в истории беларуси и восточной европы: исследования по новой и новейшей истории",государственное учреждение образования республиканский институт высшей школы,2017,да,1,нет,25,нет,-,беларусь,минск,-,-,-,-,-,http://elib.bsu.by/handle/123456789/190411,нет,133,выходит,нет,5,2017 - 2021,да,133,нет,-,0,нет,нет,-,нет,-,-,-,-,-
11,A &amp; A Case Reports,a &amp; a case reports,-,-,-,-,нет,-,нет,-,-,-,-,-,-,-,-,http://journals.lww.com/aacr/pages/default.aspx,да,1,выходит,нет,1,2014 - 2014,нет,0,нет,-,20,нет,нет,-,нет,-,-,-,-,-
12,(дубль) Applied Mobilities,-,-,-,-,-,-,-,-,-,-,-,-,2380-0127,-,-,-,-,-,-,-,нет,-,-,нет,-,-,нет,-,-,нет,нет,нет,нет,нет,нет,-,-
13,(дубль) Case Reports in Pulmonology,-,-,-,-,-,-,-,-,-,uk,-,-,2090-6846,-,-,-,-,-,-,-,нет,-,-,нет,-,-,нет,-,-,нет,нет,нет,нет,нет,нет,-,-
14,(дубль) Human Research in Rehabilitation,-,-,-,-,-,-,-,-,-,-,-,-,2232-9935,-,-,-,-,-,-,-,нет,-,-,нет,-,-,нет,-,-,нет,нет,нет,нет,нет,нет,-,-
15,(дубль) J Polym Sci Polym Chem Ed,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,нет,-,-,нет,-,-,нет,-,-,нет,нет,нет,нет,нет,нет,-,-
16,(дубль) Mathematics Student,-,-,-,-,-,-,-,-,-,india,-,-,0025-5742,-,-,-,-,-,-,-,нет,-,-,нет,-,-,нет,-,-,нет,нет,нет,нет,нет,нет,-,-
17,(дубль) Rural Educator,-,-,-,-,-,-,-,-,-,-,-,-,0273-446x,-,-,-,-,-,-,-,нет,-,-,нет,-,-,нет,-,-,нет,нет,нет,нет,нет,нет,-,-
18,... Международные Севастопольские Кирилло-Мефодиевские чтения,-,-,2008,-,-,-,-,-,-,россия,севастополь,-,-,-,-,-,-,-,-,-,нет,-,-,учитываются отдельные статьи,-,-,нет,-,-,нет,нет,нет,нет,нет,нет,-,-
19,".eco, l'educazione sostenibile",".eco, l'educazione sostenibile",-,-,-,-,нет,-,нет,-,италия,-,-,1972-9995,-,-,-,http://www.educazionesostenibile.it/portale/pianeta-eco.html,нет,1,выходит,нет,1,2006 - 2006,нет,0,нет,-,0,нет,нет,-,нет,-,-,-,-,-
20,@nalyses. Revue de Critique et de Théorie Littéraires,@nalyses. revue de critique et de théorie littéraires,-,-,-,-,нет,-,нет,@nalyses,канада,-,-,1715-9261,-,-,-,https://uottawa.scholarsportal.info/ojs/index.php/revue-analyses/index,да,0,выходит,нет,0, - ,нет,0,нет,-,0,нет,нет,-,нет,-,-,-,-,-
21,¥лт тагылымы,¥лт тагылымы,-,-,-,-,нет,-,нет,-,казахстан,-,-,-,-,-,-,-,нет,2,выходит,нет,2,2007 - 2008,нет,0,нет,-,1,нет,нет,-,нет,-,-,-,-,-
22,10 корпус,-,-,2015,-,-,-,-,-,-,россия,елец,-,-,-,-,-,"липецкая область, город елец, улица юбилейная д.1",-,-,-,нет,-,-,да,-,-,нет,-,-,нет,нет,нет,нет,нет,нет,-,-
23,"10th International Symposium on Integrated Circuits, Devices and Systems, ISIC-2004: Integrated Systems on Silicon - Proceedings","10th international symposium on integrated circuits, devices and systems, isic-2004: integrated systems on silicon - proceedings",-,-,-,-,нет,-,нет,-,-,-,-,-,-,-,-,-,нет,0,не выходит,нет,0, - ,нет,0,нет,-,0,нет,нет,-,нет,-,-,-,-,-
24,110 лет в субтропиках России,110 лет в субтропиках россии,-,1914,-,-,нет,-,нет,-,россия,-,-,-,-,-,-,-,нет,0,не выходит,нет,0, - ,нет,0,нет,-,19,нет,нет,-,нет,-,-,-,-,-
25,"11th EAGE Mathematics of Oil Recovery European Conference [ECMOR] (Bergen, Norway, 9/8-11/2008) Proceedings","11th eage mathematics of oil recovery european conference [ecmor] (bergen, norway, 9/8-11/2008) proceedings",-,-,-,-,нет,-,нет,-,-,-,-,-,-,-,-,-,нет,0,не выходит,нет,0, - ,нет,0,нет,-,0,нет,нет,-,нет,-,-,-,-,-
26,"12th EAGE Mathematics of Oil Recovery European Conference [ECMOR] (Oxford, UK, 9/6-9/2010) Proceedings","12th eage mathematics of oil recovery european conference [ecmor] (oxford, uk, 9/6-9/2010) proceedings",-,-,-,-,нет,-,нет,-,-,-,-,-,-,-,-,-,нет,0,не выходит,нет,0, - ,нет,0,нет,-,0,нет,нет,-,нет,-,-,-,-,-
27,13th IEEE Workshop on Local and Metropolitan Area Networks (LANMAN 2004),13th ieee workshop on local and metropolitan area networks (lanman 2004),-,-,-,-,нет,-,нет,-,сша,-,-,-,-,-,-,-,нет,0,не выходит,нет,0, - ,нет,0,нет,-,0,нет,нет,-,нет,-,-,-,-,-
28,14th International Conference and Exhibition on Liquefied Natural Gas,14th international conference and exhibition on liquefied natural gas,-,-,-,-,нет,-,нет,-,-,-,-,-,-,-,-,-,нет,0,не выходит,нет,0, - ,нет,0,нет,-,1,нет,нет,-,нет,-,-,-,-,-
29,1540 Compass,1540 compass,-,-,-,-,нет,-,нет,-,грузия,-,-,-,-,-,-,http://spia.uga.edu/departments-centers/center-for-international-trade,нет,1,выходит,нет,1,2016 - 2016,нет,0,нет,-,2,нет,нет,-,нет,-,-,-,-,-
30,"15th BHR Group Multiphase Production Technology International Conference (Cannes, France, 6/15-17/2011) Proceedings","15th bhr group multiphase production technology international conference (cannes, france, 6/15-17/2011) proceedings",-,-,-,-,нет,-,нет,-,-,-,-,-,-,-,-,-,нет,0,выходит,нет,0, - ,нет,0,нет,-,0,нет,нет,-,нет,-,-,-,-,-
31,"15th International Conference on Microwaves, Radar and Wireless Communications, MIKON - 2004","15th international conference on microwaves, radar and wireless communications, mikon - 2004",-,-,-,-,нет,-,нет,-,-,-,-,-,-,-,-,-,нет,0,не выходит,нет,0, - ,нет,0,нет,-,16,нет,нет,-,нет,-,-,-,-,-
32,"16th Annual Petroleum and Biofuels Environmental Conference [IPEC] (Houston, TX, 11/3-5/2009) Proceedings","16th annual petroleum and biofuels environmental conference [ipec] (houston, tx, 11/3-5/2009) proceedings",-,-,-,-,нет,-,нет,-,сша,-,-,-,-,-,-,-,нет,0,не выходит,нет,0, - ,нет,0,нет,-,0,нет,нет,-,нет,-,-,-,-,-
33,"16th Japan Formation Evaluation Symposium (Makuhari, Chiba, 10/7-8/2010) Proceedings","16th japan formation evaluation symposium (makuhari, chiba, 10/7-8/2010) proceedings",-,-,-,-,нет,-,нет,-,-,-,-,-,-,-,-,-,нет,0,не выходит,нет,0, - ,нет,0,нет,-,0,нет,нет,-,нет,-,-,-,-,-
34,"17th Annual Geospatial Information and Technology Association [GITA] GIS for Oil and Gas Conference (Houston, TX, 9/21-24/200","17th annual geospatial information and technology association [gita] gis for oil and gas conference (houston, tx, 9/21-24/200",-,-,-,-,нет,-,нет,-,-,-,-,-,-,-,-,-,нет,0,не выходит,нет,0, - ,нет,0,нет,-,0,нет,нет,-,нет,-,-,-,-,-
35,"19th Annual Produced Water Society Seminar (Houston, TX, 1/14-16/2009) Proceedings","19th annual produced water society seminar (houston, tx, 1/14-16/2009) proceedings",-,-,-,-,нет,-,нет,-,-,-,-,-,-,-,-,-,нет,0,не выходит,нет,0, - ,нет,0,нет,-,0,нет,нет,-,нет,-,-,-,-,-
36,"19th International Offshore and Polar Engineering Conference [ISOPE] (Osaka, Japan, 6/21-26/2009) Proceedings","19th international offshore and polar engineering conference [isope] (osaka, japan, 6/21-26/2009) proceedings",-,-,-,-,нет,-,нет,"19th international offshore and polar engineering conference [isope] (osaka, japan, 6/21-26/2009) proceedings",сша,-,-,1098-6189,-,-,-,-,нет,1,выходит,нет,1,2009 - 2009,нет,0,нет,-,0,нет,нет,-,нет,-,-,-,-,-
37,"1st Petroleum and Mineral Resources International Conference (Kurdistan, Iraq, 12/3-6/2012) Proceedings [WIT Transactions on","1st petroleum and mineral resources international conference (kurdistan, iraq, 12/3-6/2012) proceedings [wit transactions on",-,-,-,-,нет,-,нет,-,-,-,-,1746-4471,-,-,-,-,нет,0,выходит,нет,0, - ,нет,0,нет,-,0,нет,нет,-,нет,-,-,-,-,-
38,2000 IEEE Wireless Communications and Networking Conference,2000 ieee wireless communications and networking conference,-,-,-,-,нет,-,нет,-,сша,-,-,-,-,-,-,-,нет,0,не выходит,нет,0, - ,нет,0,нет,-,11,нет,нет,-,нет,-,-,-,-,-
