Название,Полное название,Сокращенное название,Адрес,Сайт,Почта,Телефон
Московский технический университет связи и информатики,Ордена Трудового Красного Знамени федеральное государственное бюджетное образовательное учреждение высшего образования «Московский технический университет связи и информатики»,МТУСИ,"111024, г. Москва, ул. Авиамоторная, д. 8а",http://www.mtuci.ru,mtuci@mtuci.ru,+74959577731
Национальный исследовательский ядерный университет «МИФИ»,Федеральное государственное автономное образовательное учреждение высшего образования «Национальный исследовательский ядерный университет «МИФИ»,НИЯУ МИФИ,"115409, г. Москва, Каширское шоссе, д. 31",http://mephi.ru,info@mephi.ru,+74957885699
Московский государственный технологический университет Станкин,Федеральное государственное бюджетное образовательное учреждение высшего образования «Московский государственный технологический университет «СТАНКИН»,МГТУ СТАНКИН,"127055, г. Москва, Вадковский переулок, д. 1",http://www.stankin.ru,abitur@stankin.ru,+74999733849
Православный Свято-Тихоновский гуманитарный университет,Образовательное частное учреждение высшего образования «Православный Свято-Тихоновский гуманитарный университет»,ПСТГУ,"127051, г. Москва, Лихов переулок, дом 6, стр.1",http://https://pstgu.ru/,pstgu@pstgu.ru,+74951145080
Государственный академический университет гуманитарных наук,Федеральное государственное бюджетное образовательное учреждение высшего образования «Государственный академический университет гуманитарных наук»,ГАУГН,"119049, г. Москва, Мароновский пер., д. 26",http://gaugn.ru,priem@gaugn.ru,+79265590026
Российский университет дружбы народов,Федеральное государственное автономное  образовательное учреждение высшего образования «Российский университет дружбы народов»,РУДН,"117198, г. Москва, ул. Миклухо-Маклая, д. 6",http://www.rudn.ru,information@rudn.ru,+74999368787
Институт современного искусства,Автономная некоммерческая организация высшего образования «Институт современного искусства»,ИСИ,"121309, г. Москва, ул. Новозаводская, д. 27А",http://www.isi-vuz.ru,pk-isi@mail.ru,+74952368878
Московская высшая школа социальных и экономических наук,Образовательная автономная некоммерческая организация высшего образования «Московская высшая школа социальных и экономических наук»,МВШСЭН,"125009, г. Москва, Газетный пер., 3-5, стр.1",http://www.msses.ru,applic@universitas.ru,+74951508091
Московский политехнический университет,Федеральное государственное бюджетное образовательное учреждение высшего образования «Московский политехнический университет»,Московский Политех,"107023, г. Москва, ул. Большая Семёновская, 38",http://mospolytech.ru,mospolytech@mospolytech.ru,+74952230523
Институт международных экономических связей,Автономная некоммерческая организация высшего образования  «Институт международных экономических связей»,ИМЭС,"119330, г. Москва, ул. Мосфильмовская, д. 35",http://imes.su,info@imes.su,+74993482000
Российский новый университет,Автономная некоммерческая организация высшего образования «Российский новый университет»,РосНОУ,"105005, г. Москва, ул. Радио, д. 22",http://rosnou.ru,vopros@rosnou.ru,+74993212468
Московская академия предпринимательства,Негосударственное образовательное учреждение высшего профессионального образования Московская академия предпринимательства,МосАП,"125319, г. Москва, ул. Планетная, д. 36",http://www.mosap.ru,info@mosap.ru,+74956859276
Международный юридический институт,Образовательное частное учреждение высшего образования «Международный юридический институт»,МЮИ,"127427, г. Москва, ул. Кашенкин луг, д. 4",http://lawacademy.ru,main@lawinst.ru,+74956102000
Московский социально-педагогический институт,Негосударственное образовательное учреждение высшего образования «Московский социально-педагогический институт»,МСПИ,"105082, г. Москва, ул. Фридриха Энгельса, дом 75, строение 3",http://mspi.edu.ru,info@mspi.edu.ru,+74999638071
Российский государственный университет нефти и газа им. И. М. Губкина,Федеральное государственное автономное образовательное учреждение высшего образования «Российский государственный университет нефти и газа (национальный исследовательский университет) имени И.М. Губкина»,РГУ нефти и газа,"119991, г. Москва, Ленинский проспект, д. 65",http://gubkin.ru,com@gubkin.ru,+74955078888
Первый Московский государственный медицинский университет им. И.М. Сеченова,Федеральное государственное автономное образовательное учреждение высшего образования Первый Московский государственный медицинский университет имени И.М. Сеченова Министерства здравоохранения Российской Федерации (Сеченовский Университет),Первый МГМУ им. И.М. Сеченова,"119991, г. Москва, ул. Трубецкая, д. 8, стр. 2",http://sechenov.ru,rektorat@sechenov.ru,+74992480553
Московский физико-технический институт,Федеральное государственное автономное образовательное учреждение высшего образования «Московский физико-технический институт (национальный исследовательский университет)»,МФТИ,"117303, ул. Керченская, д. 1А, корп. 1",http://mipt.ru,info@mipt.ru,+74954084554
МИРЭА – Российский технологический университет,Федеральное государственное бюджетное образовательное учреждение высшего образования «МИРЭА - Российский технологический университет»,РТУ МИРЭА,"119454, г. Москва, проспект Вернадского,  д. 78",http://www.mirea.ru,rector@mirea.ru,+74992156565
Национальный исследовательский университет «МИЭТ»,Федеральное государственное автономное  образовательное учреждение высшего образования «Национальный исследовательский университет «Московский институт электронной техники»,МИЭТ,"124498, г. Москва, г. Зеленоград, площадь Шокина, д. 1",http://miet.ru,netadm@miee.ru,+74997314441
Московский государственный медико-стоматологический университет им. А.И. Евдокимова,Федеральное государственное бюджетное образовательное учреждение высшего образования «Московский государственный медико-стоматологический университет имени А.И. Евдокимова» Министерства здравоохранения Российской Федерации,МГМСУ,"127473, г. Москва, ул. Делегатская, д. 20, стр. 1",http://www.msmsu.ru,msmsu@msmsu.ru,+74956096700
Российский национальный исследовательский медицинский университет им. Н.И. Пирогова,Федеральное государственное автономное образовательное учреждение высшего образования «Российский национальный исследовательский медицинский университет имени Н.И. Пирогова» Министерства здравоохранения Российской Федерации,РНИМУ им. Н.И. Пирогова,"117997, г. Москва, ул. Островитянова, д. 1",http://www.rsmu.ru,rsmu@rsmu.ru,+74954341422
Московский государственный университет им. М.В. Ломоносова,Федеральное государственное бюджетное образовательное учреждение высшего образования «Московский государственный университет имени М.В. Ломоносова»,МГУ им. М.В. Ломоносова,"119991, г. Москва, Ленинские горы, д. 1",http://msu.ru,info@rector.msu.ru,+74959391000
Московский городской педагогический университет,Государственное автономное образовательное учреждение высшего образования города Москвы «Московский городской педагогический университет»,МГПУ,"129226, г. Москва, 2-й Сельскохозяйственный проезд, д. 4",http://www.mgpu.ru,info@mgpu.ru,+74991812462
Московский государственный институт международных отношений МИД РФ,Федеральное государственное автономное образовательное учреждение высшего образования «Московский государственный институт международных отношений (университет) Министерства иностранных дел Российской Федерации»,МГИМО,"119454, г. Москва, проспект Вернадского, д. 76",http://www.mgimo.ru,portal@inno.mgimo.ru,+74952294049
Московский государственный областной университет,Государственное образовательное учреждение высшего образования Московской области Московский государственный областной университет,МГОУ,"141014, г. Москва, г. Мытищи, ул. Веры Волошиной, д. 24",http://mgou.ru,mo_mgou@mosreg.ru,+74957800940
Российский химико-технологический университет им. Д.И. Менделеева,Федеральное государственное бюджетное образовательное учреждение высшего образования «Российский химико-технологический университет имени Д.И. Менделеева»,РХТУ им. Д.И. Менделеева,"125047, г. Москва, Миусская площадь, д. 9",http://muctr.ru,pochta@muctr.ru,+74999788660
Институт кино и телевидения,Автономная некоммерческая организация высшего образования «Институт кино и телевидения (ГИТР)»,ГИТР,"123007, г. Москва, Хорошевское ш., д. 32А",http://gitr.ru,mail@gitr.ru,+74957876511
Московская государственная академия ветеринарной медицины и биотехнологии им. К.И. Скрябина,Федеральное государственное бюджетное образовательное учреждение высшего образования «Московская государственная академия ветеринарной медицины и биотехнологии – МВА имени К.И. Скрябина»,МГАВМиБ,"109472, г. Москва, ул. Академика Скрябина, д. 23",http://mgavm.ru,rector@mgavm.ru,+74953779117
Московский государственный гуманитарно-экономический университет,Федеральное государственное бюджетное образовательное учреждение инклюзивного высшего образования «Московский государственный гуманитарно-экономический университет»,МГГЭУ,"107150, г. Москва, ул. Лосиноостровская, д. 49",http://mggeu.ru,info@mggeu.ru,+74991602206
Московский государственный технический университет им. Н.Э. Баумана,Федеральное государственное бюджетное образовательное учреждение высшего образования «Московский государственный технический университет имени Н.Э. Баумана (национальный исследовательский университет)»,МГТУ им. Н.Э.Баумана,"105005, г. Москва, 2-я Бауманская ул., д. 5, стр. 1",http://bmstu.ru,bauman@bmstu.ru,+74992636391
Российский институт театрального искусства – ГИТИС,Федеральное государственное бюджетное образовательное учреждение высшего образования «Российский институт театрального искусства - ГИТИС»,РУТИ-ГИТИС,"125009, г. Москва, Малый Кисловский пер., д. 6",http://gitis.net,info@gitis.net,+74951376931
Московский государственный юридический университет им. О.Е. Кутафина,Федеральное государственное бюджетное образовательное учреждение высшего образования «Московский государственный юридический университет имени О.Е. Кутафина (МГЮА)»,МГЮА,"125993, г. Москва, ул. Садовая-Кудринская, д. 9",http://msal.ru,msal@msal.ru,+74992448888
Московский государственный университет технологий и управления им. К.Г. Разумовского,Федеральное государственное бюджетное образовательное учреждение высшего образования «Московский государственный университет технологий и управления имени К.Г. Разумовского (Первый казачий университет)»,МГУТУ,"109004, г. Москва, ул. Земляной Вал, д. 73",http://www.mgutm.ru,rectorat@mgutm.ru,+74959150373
Российская государственная специализированная академия искусств,Федеральное государственное бюджетное образовательное учреждение высшего образования «Российская государственная специализированная академия искусств»,РГСАИ,"121165, г. Москва, Резервный проезд, д. 12",http://rgsai.ru,rgsai@mail.ru,+74992493380
Национальный исследовательский Московский государственный строительный университет,Федеральное государственное бюджетное образовательное учреждение высшего образования «Национальный исследовательский Московский государственный строительный университет»,НИУ МГСУ,"129337, г. Москва, Ярославское шоссе, д. 26",http://www.mgsu.ru,kanz@mgsu.ru,+74957818007
Национальный исследовательский университет «МЭИ»,Федеральное государственное бюджетное образовательное учреждение высшего образования «Национальный исследовательский университет «МЭИ»,МЭИ,"111250, г. Москва, ул. Красноказарменная, д. 14, стр. 1",http://mpei.ru,universe@mpei.ac.ru,+74953627560
Российская академия музыки им. Гнесиных,Федеральное государственное бюджетное образовательное учреждение высшего образования «Российская академия музыки имени Гнесиных»,РАМ им. Гнесиных,"121069, г. Москва, ул. Поварская, д. 30-36",http://www.gnesin-academy.ru,mailbox@gnesin-academy.ru,+74956911554
Финансовый университет при Правительстве РФ,Федеральное государственное образовательное бюджетное учреждение высшего образования «Финансовый университет при Правительстве Российской Федерации»,ФинУниверситет,"125167, г. Москва, Ленинградский проспект, д. 49/2",http://fa.ru,academy@fa.ru,+74999439855
