name;adress
"Федеральное Казенное Учреждение ""военный Комиссариат Чеченской Республики""";364037, Республика Чеченская, Город Грозный, Проспект Кунта-хаджи кишиева 6
"Федеральное Казенное Учреждение ""военный Комиссариат Республики Саха (якутия)""";677000, Республика Саха /якутия/, Город Якутск, Улица Октябрьская 8
"Федеральное Казенное Учреждение ""военный Комиссариат Сахалинской Области""";693007, Область Сахалинская, Город Южно-сахалинск, Улица Комсомольская Дом 194
"Федеральное Казенное Учреждение ""военный Комиссариат Кабардино-балкарской Республики""";360024, Республика Кабардино-балкарская, Город Нальчик, Улица Кабардинская 193
"Федеральное Казенное Учреждение ""военный Комиссариат Республики Бурятия""";670042, Республика Бурятия, Город Улан-удэ, Улица Боевая Дом 7а
"Федеральное Казенное Учреждение ""военный Комиссариат Нижегородской Области""";603006, Область Нижегородская, Город Нижний новгород, Площадь Ошарская 1
"Федеральное Казенное Учреждение ""военный Комиссариат Чувашской Республики""";428000, Чувашия Чувашская республика -, Город Чебоксары, Улица Ильбекова 8 1
"Федеральное Казенное Учреждение ""военный Комиссариат Республики Адыгея""";385000, Республика Адыгея, Город Майкоп, Улица Комсомольская 217
"Федеральное Казённое Учреждение ""военный Комиссариат Брянской Области""";241050, Область Брянская, Город Брянск, Улица Калинина 54
"Федеральное Казенное Учреждение ""военный Комиссариат Кемеровской Области-кузбасса""";650024, Область Кемеровская область - кузбасс, Город Кемерово, Улица Базовая 5 А
"Федеральное Казенное Учреждение ""военный Комиссариат Забайкальского Края""";672010, Край Забайкальский, Город Чита, Улица Амурская 9
"Федеральное Казенное Учреждение ""военный Комиссариат Российской Федерации Города Байконур""";468320, Байконур, Улица Носова 14
"Федеральное Казенное Учреждение ""военный Комиссариат Республики Северная Осетия - Алания""";362003, Республика Северная осетия - алания, Город Владикавказ, Улица Гастелло Дом 73 Корпус а
"Федеральное Казенное Учреждение ""военный Комиссариат Кировской Области""";610000, Область Кировская, Город Киров, Улица Преображенская 7
"Федеральное Казенное Учреждение ""военный Комиссариат Ямало-ненецкого Автономного Округа""";629001, Автономный округ Ямало-ненецкий, Город Салехард, Улица Зои космодемьянской 49
