ФИО,№ гранта,Тема,Организация
Абросимов Николай Владимирович,МК-9572.2016.1,Геометрические и алгебраические инварианты многообразий малых размерностей и их накрытий,Федеральное государственное бюджетное учреждение науки Институт математики им. С.Л. Соболева Сибирского отделения Российской академии наук
Бородин Илья Николаевич,МК-4649.2016.1,Локализация деформации и неустойчивость пластического течения на фронте ударной волны в металлах подвергнутых интенсивным динамическим воздействиям,Федеральное государственное автономное образовательное учреждение высшего образования «Уральский федеральный университет имени первого Президента России Б.Н. Ельцина»
Валовик Дмитрий Викторович,МК-4684.2016.1,Математические задачи теории дифракции электромагнитных волн в нелинейной среде,"Федеральное государственное бюджетное образовательное учреждение высшего образования ""Пензенский государственный университет"""
Васильев Андрей Сергеевич,МК-5342.2016.1,Исследование трибологических характеристик контактного взаимодействия материалов с функционально-градиентными и композиционными защитными покрытиями при одновременном воздействии нормальных и касательных нагрузок,Федеральное государственное автономное образовательное учреждение высшего образования «Национальный исследовательский Нижегородский государственный университет им. Н.И. Лобачевского»
Васильева Мария Васильевна,МК-9613.2016.1,Многомасштабный метод конечных элементов для решения задач в перфорированных областях,"Федеральное государственное автономное образовательное учреждение высшего образования ""Северо-Восточный федеральный университет имени М.К. Аммосова"""
Красновейкин Владимир Алексеевич,МК-5914.2016.1,Изучение деформационного поведения конструкционных ультрамелкозернистых алюминий-магниевых сплавов в условиях высокоскоростного растяжения,Федеральное государственное автономное образовательное учреждение высшего образования «Национальный исследовательский Томский государственный университет»
Малышев Дмитрий Сергеевич,МК-4819.2016.1,Эффективные алгоритмы решения некоторых актуальных подзадач труднорешаемых задач теории графов и дискретной оптимизации,"Федеральное государственное автономное образовательное учреждение высшего образования ""Национальный исследовательский университет ""Высшая школа экономики"""
Марков Иван Петрович,МК-5395.2016.1,Разработка программного обеспечения метода граничных элементов для численного исследования нестационарной динамики композиционных материалов и конструкционных элементов,Федеральное государственное автономное образовательное учреждение высшего образования «Национальный исследовательский Нижегородский государственный университет им. Н.И. Лобачевского»
Маслова Наталья Владимировна,МК-6118.2016.1,Арифметические характеризации конечных групп,Федеральное государственное автономное образовательное учреждение высшего образования «Уральский федеральный университет имени первого Президента России Б.Н. Ельцина»
Мусин Айрат Ахматович,МК-9398.2016.1,Математическое моделирование термогидродинамических процессов в водонефтяных эмульсиях под воздействием СВЧ поля,Федеральное государственное бюджетное образовательное учреждение высшего образования «Башкирский государственный университет»
Наумов Алексей Александрович,МК-4596.2016.1,Локальные предельные теоремы и универсальность локальных спектральных статистик случайных матриц высокой размерности,Автономная некоммерческая образовательная организация высшего образования «Сколковский институт науки и технологий»
Недин Ростислав Дмитриевич,МК-5440.2016.1,Развитие теоретических основ для неразрушающей диагностики материалов со сложной структурой на основе метода акустического зондирования,Федеральное государственное автономное образовательное учреждение высшего образования «Южный федеральный университет»
Нестеров Павел Николаевич,МК-4625.2016.1,Развитие асимптотических методов в теории функционально-дифференциальных уравнений,"Федеральное государственное бюджетное образовательное учреждение высшего образования ""Ярославский государственный университет им. П.Г. Демидова"""
Николенко Сергей Игоревич,МК-7287.2016.1,Разработка и анализ алгоритмов обработки сетевых пакетов,Федеральное государственное бюджетное учреждение науки Санкт-Петербургское отделение Математического института им. В.А. Стеклова Российской академии наук
Пелевина Дарья Андреевна,МК-4541.2016.1,Создание направленного движения с использованием магнитоуправляемых материалов,Федеральное государственное бюджетное образовательное учреждение высшего образования «Московский государственный университет имени М.В.Ломоносова»
Пененко Алексей Владимирович,МК-8214.2016.1,Вариационные методы усвоения данных мониторинга химического состава атмосферы для целей диагностики и прогнозирования,Федеральное государственное бюджетное учреждение науки Институт вычислительной математики и математической геофизики Сибирского отделения Российской академии наук
Подольский Владимир Владимирович,МК-7312.2016.1,Сложность булевых функций и коммуникационные вычисления,Федеральное государственное бюджетное учреждение науки Математический институт им. В.А. Стеклова Российской академии наук
Поливанов Павел Александрович,МК-6682.2016.1,Поиск оптимальных конфигураций вдува/отсоса газа через пористую стенку для задач внешней и внутренней аэродинамики при сверхзвуковых числах Маха.,Федеральное государственное бюджетное учреждение науки Институт теоретической и прикладной механики им. С.А. Христиановича Сибирского отделения Российской академии наук
Пржиялковский Виктор Владимирович,МК-6019.2016.1,Многообразия Фано и зеркальная симметрия.,Федеральное государственное бюджетное учреждение науки Математический институт им. В.А. Стеклова Российской академии наук
Рябов Павел Николаевич,МК-7207.2016.1,Численное моделирование процессов самоорганизации полос адиабатического сдвига в материалах при деформациях,Федеральное государственное автономное образовательное учреждение высшего образования «Национальный исследовательский ядерный университет «МИФИ»
Синельщиков Дмитрий Игоревич,МК-6624.2016.1,Нелокальные преобразования для построения явных аналитических решений нелинейных уравнений типа Льенара и их обобщений,Федеральное государственное автономное образовательное учреждение высшего образования «Национальный исследовательский ядерный университет «МИФИ»
Скопенков Михаил Борисович,МК-6137.2016.1,Функции комплексного и кватернионного переменного и их приложения в геометрии,Федеральное государственное бюджетное учреждение науки Институт проблем передачи информации им. А.А. Харкевича Российской академии наук
Слепцов Алексей Васильевич,МК-8769.2016.1,Теория представлений квантовых групп и квантовые инварианты узлов,"Федеральное государственное бюджетное учреждение ""Национальный исследовательский центр ""Курчатовский институт"""
Степанова Ирина Владимировна,МК-4519.2016.1,Влияние эффектов Соре и Дюфора на режимы тепломассообмена в бинарных смесях,"Федеральное государственное бюджетное научное учреждение ""Федеральный исследовательский центр ""Красноярский научный центр Сибирского отделения Российской академии наук"""
