ФИО,№ стипендии,Тема,Организация
,,,
Абдуракипов Сергей Сергеевич,СП-3373.2016.1,Развитие методов интеллектуального управления процессами в энергетике ,Федеральное государственное бюджетное учреждение науки Институт теплофизики им. С.С. Кутателадзе Сибирского отделения Российской академии наук
Агарков Дмитрий Александрович,СП-3765.2016.1,Исследование кинетики окислительно-восстановительных реакций на анодном электроде ТОТЭ в рабочих условиях методами спектроскопии комбинационного рассеяния света и хронопотенциометрии,Федеральное государственное бюджетное учреждение науки Институт физики твердого тела имени Ю.А. Осипьяна Российской академии наук
Адонин Сергей Александрович,СП-3647.2016.1,Полиядерные галогенидные комплексы висмута: перспективные материалы для фотосенсоров и хемосенсорных люминесцентных материалов,Федеральное государственное бюджетное учреждение науки Институт неорганической химии им. А.В. Николаева Сибирского отделения Российской академии наук
Аккуратов Александр Витальевич,СП-835.2016.1,Направленный синтез сопряженных полимеров с малой шириной запрещенной зоны как перспективных полупроводниковых материалов для органических солнечных батарей,Федеральное государственное бюджетное учреждение науки Институт проблем химической физики Российской академии наук
Аксёнова Крестина Владимировна,СП-1335.2016.1,Разработка технологических режимов формирования комплекса повышенных эксплуатационных свойств бейнитной конструкционной стали для использования в энергетической отрасли промышленности,"Федеральное государственное бюджетное образовательное учреждение высшего образования ""Сибирский государственный индустриальный университет"""
Ананьев Сергей Станиславович,СП-1014.2016.1,Расчет содержания трития в элементах систем топливного цикла термоядерного источника нейтронов ,"Федеральное государственное бюджетное учреждение ""Национальный исследовательский центр ""Курчатовский институт"""
Аракчеев Алексей Сергеевич,СП-4010.2016.1,"Теоретическое моделирование развития трещин, появившихся на поверхности материалов после импульсной тепловой нагрузки",Федеральное государственное бюджетное учреждение науки Институт ядерной физики им. Г.И. Будкера Сибирского отделения Российской академии наук
Артемьев Александр Алексеевич,СП-3933.2016.1,Разработка энерго- и ресурсосберегающих материалов и технологий получения стойких к высокотемпературному абразивному изнашиванию наплавленных покрытий,Федеральное государственное бюджетное образовательное учреждение высшего образования «Волгоградский государственный технический университет»
Артёмов Антон Петрович,СП-3959.2016.1,Исследование источников мягкого рентгеновского излучения на основе Х-пинчей с целью создания перспективных радиографических комплексов,Федеральное государственное бюджетное учреждение науки Институт сильноточной электроники Сибирского отделения Российской академии наук
Ахметшина Алсу Исламовна,СП-831.2016.1,Газоразделительные мембраны для очистки аммиака на основе полимеров с высоким свободным объемом и ионных жидкостей ,"Федеральное государственное бюджетное образовательное учреждение высшего образования ""Нижегородский государственный технический университет им. Р.Е. Алексеева"""
Бабайцев Арсений Владимирович,СП-1286.2016.1,Разработка методов оценки прочности теплозащитных керамических покрытий в условиях циклического нагрева с учетом особенностей состава и микроструктуры.,"Федеральное государственное бюджетное образовательное учреждение высшего образования ""Московский авиационный институт (национальный исследовательский университет)"""
Баженов Вячеслав Евгеньевич,СП-1579.2016.1,Повышение адекватности компьютерного моделирования литейных процессов с целью экономии ресурсов машиностроительных и авиастроительных предприятий,Федеральное государственное автономное образовательное учреждение высшего образования “Национальный исследовательский технологический университет «МИСиС»
Байбакова Ольга Владимировна,СП-152.2016.1,Разработка энергоэффективной ресурсосберегающей технологии биоэтанола из энергетических растений и сельскохозяйственных отходов для технических целей,Федеральное государственное бюджетное учреждение науки Институт проблем химико-энергетических технологий Сибирского отделения Российской академии наук
Баймуратов Анвар Саматович,СП-2066.2016.1,Методы создания искусственной оптической активности неорганических нанокристаллов и структур на их основе,Федеральное государственное автономное образовательное учреждение высшего образования «Национальный исследовательский университет ИТМО»
Беленов Сергей Валерьевич,СП-239.2016.1,"Новые подходы к синтезу, постобработке и характеризации высокоэффективных платиносодержащих катализаторов для низкотемпературных топливных элементов",Федеральное государственное автономное образовательное учреждение высшего образования «Южный федеральный университет»
Белинская Наталия Сергеевна,СП-2724.2016.1,Разработка подходов к повышению ресурсо- и энергоэффективности в процессе каталитической депарафинизации средних дистиллятов нефти,Федеральное государственное автономное образовательное учреждение высшего образования «Национальный исследовательский Томский политехнический университет»
Белов Александр Александрович,СП-1294.2016.1,Моделирование химической кинетики в газах,Федеральное государственное бюджетное образовательное учреждение высшего образования «Московский государственный университет имени М.В.Ломоносова»
Белов Дмитрий Сергеевич,СП-4314.2016.1,Наноструктурные керамикометаллические упрочняющие покрытия на режущем инструменте расширенной области применения для энергосбережения при резании труднообрабатываемых материалов,Федеральное государственное автономное образовательное учреждение высшего образования “Национальный исследовательский технологический университет «МИСиС»
Белова Алина Игоревна,СП-3974.2016.1,Легированный графен для электрохимических накопителей и преобразователей энергии: влияние электронной структуры на электрокаталитическую активность в редокс реакциях кислорода,Федеральное государственное бюджетное образовательное учреждение высшего образования «Московский государственный университет имени М.В.Ломоносова»
Бельский Алексей Анатольевич,СП-349.2016.1,Разработка энергоэффективной технологии применения возобновляемых источников энергии в качестве первичного энергоносителя для теплового воздействия на трудноизвлекаемые залежи высоковязкой нефти,"Федеральное государственное бюджетное образовательное учреждение высшего образования ""Санкт-Петербургский горный университет"""
